Vocabulary,Part of Speech,Definition,Suggested Reading,Base Word
"a, ab, abs",preposition,"(with abl.) from, away from, out of, by",1.1,a
"abeo, -ire, -ii, -itum",verb,"to go from, go away, go off, go forth, go, 
depart",1.1,abeo
"absum, abesse, afui",verb,"to be away from, be absent",5.3,absum
"accedo (adc-), -ere, -cessi, 
-cessum",verb,"to go to, come to, come near, draw near, 
approach, enter",2.1,accedo
"accendo (adc-), -ere, -cendi, 
-censum",verb,"to kindle, set on fire, inflame",3.6,accendo
"accido, -ere, -cidi",verb,"to fall upon, fall to, reach by falling, happen",3.1,accido
"accipio (adc-), -ere, -cepi, 
-ceptum",verb,"to take without effort, receive, get, accept",1.3,accipio
"accuso, -are, -avi, -atum",verb,"to accuse, blame, find fault; reprimand; charge 
(w/ a crime)",3.6,accuso
"acer, acris, acre",adjective,"sharp, bitter, pointed, piercing, shrill; keen; 
severe",1.1,acer
"acies, -ei (f.)",noun,"a sharp edge, point; the front of an army, line 
of battle",5.3,acies
ad,preposition,"(with acc.) to, toward",1.1,ad
"addo, -ere, -didi, -ditum",verb,"to put to, place upon, lay on, join, attach",1.4,addo
"adeo, -ire, -ii, -itum",verb,"to go to, come to, come up to, approach, draw 
near",1.2,adeo
adhuc,adverb,"until now, heretofore, as yet, to this point, to 
this place",1.3,adhuc
"adsum (assum), adesse, adfui",verb,"to be at, be present, be at hand",2.4,adsum
"adsurgo (ass-), -ere, -surrexi, 
-surrectum",verb,"to rise up, rise, stand up",1.4,adsurgo
"adversus, -a, -um",adjective,"turned to, opposite, before, in front of",1.1,adversus
"adversus, adversum",adverb,"opposite to, against; toward, against, before",1.1,adversus
"aedificium, -i (n.)",noun,a building; structure,3.6,aedificium
"aedifico, -are, -avi, -atum",verb,"to build, construct, make; create; establish; 
improve",3.6,aedifico
"aeger, aegra, -um",adjective,"sick, ill, injured; painful; corrupt; sad, sorrowful",1.2,aeger
"Aeneas, -ae (m.)",noun (proper),"Aeneas, leader of the Trojans",4.4,Aeneas
"aequo, -are, -avi, -atum",verb,"to make equal, equalize",4.4,aequo
"aequor, -oris (n.)",noun,"an even surface, level; the sea, ocean",4.4,aequor
"aequus, -a, -um",adjective,"level, even, equal, like; just, kind, impartial, fair; 
patient",1.2,aequus
"aestas, aestatis (f.)",noun,summer; summer heat/weather; a year,4.1,aestas
"aetas, -atis (f.)",noun,"the life of man, age, lifetime, years",3.4,aetas
"aether, -eris (m.)",noun,"the upper air, sky",4.4,aether
"affirmo (adf-), -are, -avi, -atum",verb,"to strengthen; to confirm, encourage",3.1,affirmo
"ager, agri (m.)",noun,"productive land, a field, farm, estate, pasture",5.4,ager
"agmen, -inis (n.)",noun,"a multitude, troop, crowd; battle line, army",2.3,agmen
"ago, -ere, egi, actum",verb,"to put in motion, do, move, lead, drive",1.2,ago
"agricola, -ae (m.)",noun,"a farmer, countryman, peasant",1.1,agricola
"aio (defective verb, ais, ait, 
aiunt)",verb,"to assert, affirm, say, tell, relate",2.3,aio
"albus, -a, -um",adjective,"white, pale, fair, gray; bright, clear; favorable, 
auspicious",3.1,albus
"Alexandrinus, -a, -um",adjective,"Alexandrian, pertaining to Alexandria (a city in 
Egypt)",3.4,Alexandrinus
