Required Vocabulary,Definition,Suggested Reading,Base Word
Required Vocabulary,Definition,"Suggested 
Reading",Required
"—, suī, sibi, sē, sē","himself, herself, itself, themselves",1.1,—
"ā, ab, abs","from, away from, out of, by (with abl.)",1.1,a
"abeō, -īre, iī, itum","to go from, go away, go off, go forth, go, depart",2.2,abeo
"absum, abesse, āfuī","to be away from, be absent",5.3,absum
"accēdō (adc-), -ere, -cessī, -cessum","to go to, come to, come near, draw near, approach, enter",2.1,accedo
"accendō (adc-), -ere, -cendī, -cēnsum","to kindle, set on fire, inflame",3.6,accendo
"accidō, -ere, -cidī","to fall upon, fall to, reach by falling, happen",3.1,accido
"accipiō (adc-), -ere, -cēpī, -ceptum","to take without effort, receive, get, accept",1.3,accipio
"aciēs, -ēī","sharp edge, point, cutting part; the front of an army, line of battle",6.1,acies
ad,"to, toward (with acc.)",1.1,ad
"addō, -ere, -didī, -ditum","to put to, place upon, lay on, join, attach",1.4,addo
"adeō, -īre, -iī, -itum","to go to, come to, come up to, approach, draw near",2.2,adeo
adhūc,"until now, heretofore, hitherto, as yet, to this point, to this place",2.2,adhuc
"adsum (assum), adesse, adfuī","to be at, be present, be at hand",2.4,adsum
"adsurgō (ass-), -ere, -surrēxī, -
surrēctum","to rise up, rise, stand up",2.2,adsurgo
"adversus, -a, -um","turned to, opposite, before, in front of",2.2,adversus
"adversus, adversum","opposite to, against; toward, against, before",5.4,adversus
"Aenēās, -ae","Aeneas, our hero and leader of the Trojans",4.2,Aeneas
"aequō, -āre, -āvī, -ātum","to make equal, equalize",4.2,aequo
"aequor, -oris","an even surface, level; the sea, ocean",4.1,aequor
"aetās, -ātis","the life of man, age, lifetime, years",3.3,aetas
"aethēr, -eris","the upper air, sky, firmament",4.2,aether
"affīrmō (adf-), -āre, -āvī, -ātum","to strengthen; to confirm, encourage",3.2,affirmo
"ager, agrī","productive land, a field, farm, estate, arable land, pasture",6.2,ager
"āgmen, -inis","that which is driven; a multitude, throng, host, troop, crowd; battle line",2.3,agmen
"agō, -ere, ēgī, āctum","to put in motion, do, move, lead, drive",1.2,ago
"āiō (defective verb, ăis, ăit, āiunt)","to assert, affirm, aver, say, tell, relate",2.3,aio
"Alexandrīnus, -a, -um","Alexandrian, pertaining to Alexandria, a city in Egypt",3.5,Alexandrinus
"aliēnus, -a, -um","of another, belonging to another, not one's own, foreign, alien, strange",2.3,alienus
"aliquī (aliquis), aliqua, aliquod","some, any",3.1,aliqui
"aliquis, aliquid","some one, any one, anybody, one or another; neut., something, anything",1.2,aliquis
"alius, -a, -ud","another, other, different",1.1,alius
"alter, -tera, -terum","one, another, the one, the other (of two)",2.3,alter
"altum, -ī",a height; the high sky; the deep sea,2.1,altum
"altus, -a, -um","high, lofty, elevated, great; deep, profound",2.2,altus
"amīcus, -a, -um","loving, friendly, kind, favorable",2.5,amicus
"amīcus, -ī","a loved one, loving one, friend",2.2,amicus
"āmittō, -ere, -īsī, -issum","to send away, dismiss, part with, let go, lose",5.5,amitto
"amnis, -is",a river,6.2,amnis
"amō, -āre, -āvī, -ātum",to love,2.5,amo
"amor, -ōris","love, affection, strong friendly feeling",4.4,amor
"amplector, -ī, -exus","to twine around, encircle, encompass, embrace",2.4,amplector
an,"or, or whether",1.3,an
"anima, -ae","air, a current of air, breeze, wind; breath, life, soul",2.2,anima
"animus, -ī","the soul, intelligence, reason, intellect, mind",1.1,animus
"annus, -ī",a year,2.3,annus
ante,"(of space) before, in front, forwards; (of time) before, previously (with acc.)",3.5,ante
"antīquus, -a, -um","ancient, former, of old times",4.1,antiquus
"appāreō (adp-), -ēre, -uī, -itum","to appear, come in sight, make an appearance",2.1,appareo
apud,"with, among, at, by, near, at the house of (with acc.)",2.2,apud
"aqua, -ae",water,2.2,aqua
"āra, -ae","a structure for sacrifice, altar",4.3,ara
"arbōr (arbōs), -oris",a tree,1.4,arbor
"ardēns, -entis","glowing, fiery, hot, ablaze, burning, eager",4.3,ardens
"ārdeō, -ēre, -sī, -sum","to be on fire, burn, blaze, be burned, glow",2.2,ardeo
"arma, -ōrum","implements, outfit, instruments, tools; implements of war, arms, weapons",1.3,arma
"Arpocras, -tis",a male name,3.5,Arpocras
"ars, artis","practical skill, art",6.1,ars
"arvum, -ī","an arable field, cultivated land, field, ploughed land",4.3,arvum
"arx, arcis","a castle, citadel, fortress, stronghold",4.1,arx
"aspiciō (ads-), -ere, -ēxī, -ectum","to look at, look upon, behold, look",2.2,aspicio
"at, ast",but (introducing a contrast to what precedes),1.2,at
"āter, -tra, -trum","black, coal-black, gloomy, dark",2.3,ater
"atque, ac",and,1.1,atque
"audeō, -ēre, ausus sum","to venture, dare, be bold, dare to do, risk",3.3,audeo
"audiō, -īre, -īvī or -iī, -ītum",to hear,2.2,audio
"aura, -ae","the air (in motion), a breeze, breath of air, wind, blast",4.4,aura
"auris, -is",the ear,3.1,auris
"aurum, -ī",gold,6.2,aurum
